Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
452, -17.93,    1.6067,   26.8096
453, -16.65,    1.8813,   29.4945
454, -15.36,    2.1873,   32.5583
455, -14.07,    2.5189,   36.0457
456, -12.78,    2.8784,   39.6727
457, -11.49,    3.2497,   42.8774
458, -10.20,    3.6213,   45.0701
459,  -8.92,    3.9284,   46.1705
460,  -7.63,    4.1328,   46.8473
461,  -6.34,    4.2124,   47.4068
462,  -5.05,    4.1726,   47.7874
463,  -3.76,    4.0265,   47.4743
464,  -2.48,    3.7466,   46.0825
465,  -1.19,    3.3047,   44.7164
466,   0.10,    2.8101,   43.5863
467,   1.39,    2.3390,   41.4594
468,   2.68,    1.9298,   36.5323
469,   3.97,    1.5744,   28.4182
470,   5.25,    1.2791,   20.0122
471,   6.54,    1.0362,   13.1986
472,   7.83,    0.8409,    8.3039
473,   9.12,    0.6865,    5.3101
474,  10.41,    0.5601,    3.5965
475,  11.69,    0.4611,    2.5389
476,  12.98,    0.3816,    1.8332
477,  14.27,    0.3195,    1.3355
478,  15.56,    0.2696,    0.9814
479,  16.85,    0.2298,    0.7210
480,  18.14,    0.1984,    0.5367
481,  19.42,    0.1730,    0.4146
482,  20.71,    0.1522,    0.3120
483,  22.00,    0.1364,    0.2361
484,  23.29,    0.1228,    0.1804
485,  24.58,    0.1115,    0.1422
486,  25.87,    0.1025,    0.1100
487,  27.15,    0.0948,    0.0848
488,  28.44,    0.0888,    0.0729
489,  29.73,    0.0836,    0.0641
490,  31.02,    0.0778,    0.0553
491,  32.31,    0.0738,    0.0506
492,  33.59,    0.0696,    0.0448
493,  34.88,    0.0657,    0.0398
494,  36.17,    0.0624,    0.0332
495,  37.46,    0.0593,    0.0292
496,  38.75,    0.0554,    0.0277
497,  40.04,    0.0526,    0.0215
498,  41.32,    0.0488,    0.0213
499,  42.61,    0.0465,    0.0193
500,  43.90,    0.0437,    0.0167
501,  45.19,    0.0410,    0.0127
502,  46.48,    0.0391,    0.0118
503,  47.76,    0.0366,    0.0089
504,  49.05,    0.0345,    0.0033
505,  50.34,    0.0327,    0.0047
506,  51.63,    0.0310,    0.0010
507,  52.92,    0.0303,    0.0018
508,  54.21,    0.0294,    0.0024
509,  55.49,    0.0281,   -0.0002
510,  56.78,    0.0271,   -0.0012
511,  58.07,    0.0260,   -0.0043
512,  59.36,    0.0263,   -0.0024
513,  60.65,    0.0260,   -0.0017
514,  61.94,    0.0250,   -0.0045
515,  63.22,    0.0254,   -0.0061
516,  64.51,    0.0241,   -0.0051
517,  65.80,    0.0234,   -0.0038
518,  67.09,    0.0231,   -0.0057
519,  68.38,    0.0225,   -0.0086
520,  69.66,    0.0217,   -0.0064
521,  70.95,    0.0206,   -0.0075
522,  72.24,    0.0201,   -0.0068
523,  73.53,    0.0196,   -0.0046
524,  74.82,    0.0192,    0.0014
525,  76.11,    0.0185,    0.0014
526,  77.39,    0.0181,    0.0012
527,  78.68,    0.0175,    0.0099
528,  79.97,    0.0166,    0.0069
529,  81.26,    0.0154,    0.0010
530,  82.55,    0.0152,    0.0028
531,  83.83,    0.0153,    0.0051
532,  85.12,    0.0143,    0.0014
533,  86.41,    0.0134,   -0.0040
534,  87.70,    0.0124,   -0.0012
535,  88.99,    0.0121,   -0.0002
536,  90.28,    0.0119,    0.0016
537,  91.56,    0.0119,    0.0004
538,  92.85,    0.0104,    0.0019
539,  94.14,    0.0098,    0.0017
540,  95.43,    0.0104,    0.0040
541,  96.72,    0.0099,    0.0050
542,  98.01,    0.0092,    0.0038
543,  99.29,    0.0079,    0.0056
544, 100.58,    0.0074,    0.0053
545, 101.87,    0.0083,    0.0078
546, 103.16,    0.0070,    0.0060
547, 104.45,    0.0069,    0.0045
548, 105.73,    0.0066,    0.0050
549, 107.02,    0.0057,    0.0033
550, 108.31,    0.0057,    0.0027
551, 109.60,    0.0062,    0.0040
552, 110.89,    0.0072,    0.0048
553, 112.18,    0.0074,    0.0044
554, 113.46,    0.0069,    0.0066
555, 114.75,    0.0073,    0.0088
556, 116.04,    0.0075,    0.0025
557, 117.33,    0.0077,    0.0035
558, 118.62,    0.0083,    0.0019
559, 119.90,    0.0073,    0.0036
560, 121.19,    0.0075,    0.0032
561, 122.48,    0.0080,    0.0016
562, 123.77,    0.0072,    0.0056
563, 125.06,    0.0077,    0.0051
564, 126.35,    0.0076,    0.0074
565, 127.63,    0.0073,    0.0062
566, 128.92,    0.0076,    0.0042
567, 130.21,    0.0072,    0.0074
568, 131.50,    0.0071,    0.0062
569, 132.79,    0.0071,    0.0036
570, 134.08,    0.0068,    0.0040
571, 135.36,    0.0067,    0.0025
572, 136.65,    0.0060,    0.0014
573, 137.94,    0.0060,    0.0009
574, 139.23,    0.0058,    0.0016
575, 140.52,    0.0057,   -0.0005
576, 141.80,    0.0051,   -0.0017
577, 143.09,    0.0055,    0.0009
578, 144.38,    0.0047,   -0.0001
579, 145.67,    0.0056,    0.0007
580, 146.96,    0.0055,    0.0011
581, 148.25,    0.0053,   -0.0027
582, 149.53,    0.0054,    0.0003
583, 150.82,    0.0046,    0.0005
584, 152.11,    0.0054,   -0.0010
585, 153.40,    0.0053,   -0.0019
586, 154.69,    0.0049,    0.0009
587, 155.97,    0.0050,    0.0001
588, 157.26,    0.0052,   -0.0037
589, 158.55,    0.0045,   -0.0003
590, 159.84,    0.0048,    0.0024
591, 161.13,    0.0044,    0.0012
592, 162.42,    0.0047,    0.0036
593, 163.70,    0.0048,   -0.0021
594, 164.99,    0.0047,   -0.0010
595, 166.28,    0.0042,   -0.0024
596, 167.57,    0.0047,   -0.0017
597, 168.86,    0.0037,   -0.0022
598, 170.15,    0.0045,   -0.0013
599, 171.43,    0.0046,   -0.0011
600, 172.72,    0.0046,   -0.0024
601, 174.01,    0.0044,    0.0011
602, 175.30,    0.0042,   -0.0006
603, 176.59,    0.0046,   -0.0043
